scenario,proliferation_score,survival_score,apoptosis_score,stress_response_score,malignancy_index
hcc827_parental,0.6089,0.6536,0.2983,0.3239,0.6431
hcc827_gr_met_resistant,0.6458,0.6984,0.248,0.2631,0.6854
