intervention,steps,converged,proliferation_score,survival_score,apoptosis_score,stress_response_score,malignancy_index,delta_proliferation,delta_survival,delta_apoptosis,delta_malignancy
capivasertib,32,True,0.5518,0.5671,0.3958,0.4419,0.5676,-0.094,-0.1313,0.1478,-0.1178
alpelisib,33,True,0.5743,0.6009,0.3574,0.3957,0.5973,-0.0714,-0.0975,0.1094,-0.0882
gefitinib,32,True,0.5818,0.6023,0.3426,0.3747,0.6041,-0.0639,-0.0961,0.0946,-0.0813
venetoclax,34,True,0.6356,0.5962,0.3759,0.3851,0.6195,-0.0102,-0.1022,0.128,-0.0659
everolimus,34,True,0.6056,0.648,0.2993,0.2851,0.6395,-0.0402,-0.0504,0.0513,-0.046
capmatinib,33,True,0.6139,0.6605,0.2906,0.3146,0.6493,-0.0319,-0.0379,0.0426,-0.0362
ulixertinib,33,True,0.5902,0.69,0.2643,0.2745,0.6542,-0.0556,-0.0084,0.0163,-0.0312
trametinib,33,True,0.6171,0.6941,0.2562,0.2689,0.6694,-0.0287,-0.0042,0.0082,-0.016
nutlin3,35,True,0.6458,0.6984,0.3114,0.2631,0.6727,0.0,0.0,0.0635,-0.0127
